Flag	Source	Filename	Type	TSC Event	TSC Command	Entity Index	Entity Type	Entity Name	Entity Bits	Entity Oversight Warning
5005	TSC	ArmsItem.tsc	Read	#5014	<FLJ					
5004	TSC	ArmsItem.tsc	Read	#5014	<FLJ					
5003	TSC	ArmsItem.tsc	Read	#5014	<FLJ					
5002	TSC	ArmsItem.tsc	Read	#5014	<FLJ					
5001	TSC	ArmsItem.tsc	Read	#5014	<FLJ					
6002	TSC	ArmsItem.tsc	Read	#6005	<FLJ					
6004	TSC	ArmsItem.tsc	Read	#6005	<FLJ					
5005	TSC	ArmsItem.tsc	Read	#6014	<FLJ					
5004	TSC	ArmsItem.tsc	Read	#6014	<FLJ					
5003	TSC	ArmsItem.tsc	Read	#6014	<FLJ					
5002	TSC	ArmsItem.tsc	Read	#6014	<FLJ					
5001	TSC	ArmsItem.tsc	Read	#6014	<FLJ					
742	TSC	ArmsItem.tsc	Read	#6018	<FLJ					
742	TSC	ArmsItem.tsc	Write	#6018	<FL+					
743	TSC	ArmsItem.tsc	Write	#6018	<FL-					
2900	TSC	ArmsItem.tsc	Read	#6021	<FLJ					
2900	TSC	ArmsItem.tsc	Write	#6021	<FL+					
743	TSC	ArmsItem.tsc	Read	#6023	<FLJ					
743	TSC	ArmsItem.tsc	Write	#6023	<FL+					
742	TSC	ArmsItem.tsc	Write	#6023	<FL-					
1020	TSC	ArmsItem.tsc	Read	#6024	<FLJ					
1020	TSC	ArmsItem.tsc	Write	#6024	<FL+					
1024	TSC	ArmsItem.tsc	Write	#6026	<FL+					
1563	TSC	ArmsItem.tsc	Write	#6033	<FL+					
722	TSC	ArmsItem.tsc	Read	#6038	<FLJ					
722	TSC	ArmsItem.tsc	Write	#6038	<FL+					
742	TSC	ArmsItem.tsc	Write	#7018	<FL-					
2900	TSC	ArmsItem.tsc	Write	#7021	<FL-					
743	TSC	ArmsItem.tsc	Write	#7023	<FL-					
1020	TSC	ArmsItem.tsc	Write	#7024	<FL-					
722	TSC	ArmsItem.tsc	Write	#7038	<FL-					
6100	TSC	ArmsItem.tsc	Read	#8000	<FLJ					
6101	TSC	ArmsItem.tsc	Read	#8001	<FLJ					
6102	TSC	ArmsItem.tsc	Read	#8002	<FLJ					
6103	TSC	ArmsItem.tsc	Read	#8003	<FLJ					
6104	TSC	ArmsItem.tsc	Read	#8004	<FLJ					
6105	TSC	ArmsItem.tsc	Read	#8005	<FLJ					
6106	TSC	ArmsItem.tsc	Read	#8006	<FLJ					
6107	TSC	ArmsItem.tsc	Read	#8007	<FLJ					
6108	TSC	ArmsItem.tsc	Read	#8008	<FLJ					
6109	TSC	ArmsItem.tsc	Read	#8009	<FLJ					
6110	TSC	ArmsItem.tsc	Read	#8010	<FLJ					
6111	TSC	ArmsItem.tsc	Read	#8011	<FLJ					
6112	TSC	ArmsItem.tsc	Read	#8012	<FLJ					
6113	TSC	ArmsItem.tsc	Read	#8013	<FLJ					
6114	TSC	ArmsItem.tsc	Read	#8014	<FLJ					
4001	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4002	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4003	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4007	TSC	ArmsItem.tsc	Read	#9000	<FLJ					
4002	TSC	ArmsItem.tsc	Read	#9001	<FLJ					
4003	TSC	ArmsItem.tsc	Read	#9001	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9001	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9001	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9001	<FLJ					
4007	TSC	ArmsItem.tsc	Read	#9001	<FLJ					
4003	TSC	ArmsItem.tsc	Read	#9002	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9002	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9002	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9002	<FLJ					
4007	TSC	ArmsItem.tsc	Read	#9002	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9003	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9003	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9003	<FLJ					
4007	TSC	ArmsItem.tsc	Read	#9003	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9004	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9004	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9005	<FLJ					
4003	TSC	ArmsItem.tsc	Read	#9008	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9008	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9008	<FLJ					
4006	TSC	ArmsItem.tsc	Read	#9008	<FLJ					
4007	TSC	ArmsItem.tsc	Read	#9008	<FLJ					
4004	TSC	ArmsItem.tsc	Read	#9009	<FLJ					
4005	TSC	ArmsItem.tsc	Read	#9009	<FLJ					
